C_ID,C_TAX_ID,C_GNDR,C_TIER,C_DOB,C_L_NAME,C_F_NAME,C_M_NAME,C_ADLINE1,C_ADLINE2,C_ZIPCODE,C_CITY,C_STATE_PROV,C_CTRY,C_PRIM_EMAIL,C_ALT_EMAIL,C_CTRY_CODE_1,C_AREA_CODE_1,C_LOCAL_1,C_EXT_1,C_CTRY_CODE_2,C_AREA_CODE_2,C_LOCAL_2,C_EXT_2,C_CTRY_CODE_3,C_AREA_CODE_3,C_LOCAL_3,C_EXT_3,C_LCL_TX_ID,C_NAT_TX_ID,CA_ID,CA_TAX_ST,CA_B_ID,CA_NAME
53,389-72-7929,f,3,1945-09-21,Sugarman,Cherlyn,,22498 Smithdale Avenue,,93831,Rancho Cucamonga,TX,United States of America,Cherlyn.Sugarman@fastemailer.com,,,658,186-4441,,,,,,,,,,AR4,MN2,1,1,4596,MUTLjGjcJUrCISeUSxEOrQFtulFDIcD
54,479-65-7373,M,2,1918-02-01,Wagner,Buffy,N,13917 Wood Road,,M1H 1Q1,Portland,ME,United States of America,Buffy.N.Wagner@shtrudel.net,Buffy.N.Wagner@gawab.com,1,653,513-9814,,,,261-3591,,,,,,AB1,MB5,1,1,6888,pOUIEmeJNrHUtZqrYzOCSNmOBnEyfPAMVOPIbcOjPJPuQz
55,723-86-6668,,2,1920-01-13,Huboi,Angelie,V,24977 Garden Brook Upper,,E7O 1F1,Chesapeake,NJ,Canada,Angelie.V.Huboi@gawab.com,,,989,364-9674,,1,794,738-7392,,,,,,OH6,NU6,1,1,18922,KLlpyNLgHLbwIuQ EmdyIRaGsNxbaZkIFhaYFQsJOuk
56,365-27-1131,,3,2003-10-29,Brinkman,Janela,Q,1464 Green Ash Avenue,,V6I 1Q4,Little Rock,NJ,United States of America,Janela.Q.Brinkman@gmx.hk,,,348,492-5062,,,,474-5711,,1,213,485-0619,,NF6,DC3,2,1,11650,dGRWccAuvjwIJEvGEPVRAChdArkBefacBlIQDNGqvguYp
57,190-98-0967,M,2,1937-12-16,Rausa,Evan,R,11618 Jack North,Apt. 955,10088,Palmdale,Ontario,United States of America,Evan.R.Rausa@hushmail.com,Evan.R.Rausa@taunusstein.net,,,298-7402,,1,229,724-4921,,,720,088-8447,,MB6,SK4,1,1,19952, SyWRNmYmiCwpDHQMOAMJDEjmGbJoWYpBuTOdNzYgnQKpHG
58,043-52-1939,,3,1925-04-17,Ude,Jimmie,,4737 Sayers Court,,V6V 1W3,Salem,KS,United States of America,Jimmie.Ude@mail.be,,,580,150-5547,,,445,275-5951,,,,,,US2,SK7,1,1,3521,tgaCzYPRymmGsfQWxMBZAhnJResUIZ
59,931-49-3623,,3,1942-10-18,MacNeill,Janette,,348 Fennel Way,,94176,New Orleans,Saskatchewan,United States of America,Janette.MacNeill@peacemail.com,Janette.MacNeill@gmx.pt,,620,568-3914,,1,306,470-7306,,,,,,ON9,NF4,1,1,21634,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,22766,ImGNCyuHiLDeKDCCwpbGHeTlRaCWtbASnHRCKfKMUvu
60,007-07-4033,m,1,1950-08-14,Thomey,Mellisa,D,14518 Westheimer Avenue,,93816,Chula Vista,ID,United States of America,Mellisa.D.Thomey@gmx.ph,,,,493-3403,,,,902-1235,,,,,,OR2,ID5,1,1,12339,cNMBdUiQvAlQNDHcOfrBDfRcpHhOhL lVlsXHKReDWlGLmqTEb
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
61,253-44-7397,F,2,2007-12-18,Quane,Alparslan,,18993 Rivas Rue,,20078,Shreveport,AR,United States of America,Alparslan.Quane@mailmaniacs.com,Alparslan.Quane@macgui.com,,,932-6637,,,,,,,,,,YT9,IA5,0,1,9729,txjccUjDUgfOcHNJBOILkKQLMyBvpqqqFvylEv
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
62,939-75-9451,M,2,1928-10-14,Lapre,Grady,,14359 Commerce West,,21260,Paterson,WV,United States of America,Grady.Lapre@operamail.com,Grady.Lapre@shtrudel.com,,,097-4589,,,,,,,,,,ME4,NT1,1,1,2112,BdacwhTxZtOveswgGcBMkgTr WxVIcjFNSyQZFLHDQYI
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
63,769-83-5651,,3,1969-02-09,Ivan,Ming,,21265 Overbrook Upper,,35296,Nashville,VT,United States of America,Ming.Ivan@gmail.com,Ming.Ivan@netdove.net,,731,091-5750,51725,1,228,414-2429,31519,,,918-9412,,ON10,ND6,0,1,10756,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
64,158-42-3133,,2,1975-03-16,Shnider,Kriste,,3771 Annapolis Drive,,M5C 1U9,Sacramento,WV,United States of America,Kriste.Shnider@deadaddress.com,,,565,552-9239,,,,343-7582,,1,519,904-0520,,ND4,ID4,1,1,5694,pzKYobNVmUgRaQJQudVAkUJZDttsOw
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
65,170-79-6002,M,,1965-04-15,Sellwood,Salim,,2344 Kalani West,,35885,Tempe,KY,Canada,Salim.Sellwood@aol.com,,,,089-3486,,,,,,,,,,CA1,OH9,1,1,5714,ouVlcANGAAFLEdeXLFejOFrMBRPmiiKXubIpnEbRPeoKHK
31,,,3,,,,,3713 Jarvis Avenue,,E7O 1P6,Winston-Salem,,,Mysore.Mia@farce.de,,,872,880-7964,,,,287-9163,,,,,,,,,1,,
66,741-64-3680,,2,1932-10-03,McConkey,Fayma,,3124 Congress Park,Suite 114,H2C 1Z3,Missoula,WI,United States of America,Fayma.McConkey@taunusstein.net,,,558,473-7712,,,,011-5739,00408,,,,,WY1,GA4,1,1,8614,jVnVpLNERPdNqeGEgxKHNXf eh oUHBqLtkRCO
0,,,,,,,,,,,Augusta,British Columbia,United States of America,Adara.Joannis@gmail.com,,,357,423-9191,,,270,141-3475,,,421,277-2023,59348,,,,1,,
67,142-31-9205,,2,2010-12-01,Keitel,Karan,,1781 Love Bird Boulevard,,21285,Overland Park,DE,United States of America,Karan.Keitel@gmx.pt,Karan.Keitel@gawab.com,1,244,828-4576,,,756,235-7626,,,,,,SC5,QC1,1,1,5387,idCHWAaYRLaapKvnEarPCChMUkTTNMvLRBEpFMtXAZycDoF
29,,,,,,,,3375 Sakowitz Lane,,,Bakersfield,HI,,Shobana.H.Frosst@bulldogs.com,,,,174-3162,,,,,,,,,,,,,1,,
68,475-18-6370,,,1984-11-28,Helpb,Rob,,2412 Bonita Lane,Apt. 511,H7G 1V3,Dover,SC,United States of America,Rob.Helpb@enveloped.org,,,365,842-5186,,1,251,789-4942,,,,,,ON8,NY3,1,1,8037,rvUDLMIBYdYpuzoOBAoNeKJuLLBBnVhuYIIFNVCQszQN
58,,,,,,,,15883 Baltic South,,V6Z 1U7,Modesto,ID,,Jimmie.Ude@4uchat.de,,,726,842-8999,,,704,577-0487,,,,425-3832,,,,,1,,
69,193-93-0949,,2,1919-07-05,Marshman,Tan,C,18133 Cherry West,,76126,Sunnyvale,FL,United States of America,Tan.C.Marshman@ip6.li,,1,889,662-1131,,,,505-9373,,,,,,HI8,AL2,1,1,2559,udszzQdIJvWDWWYyzIhNcVCGUlBHUmBxATUIL
27,,,2,,,,,7458 Denton Boulevard,,V6J 1S6,,NM,United States of America,Natver.Z.Minyard@vfemail.net,,,975,723-4098,,,,,,,,,,,,,1,,
70,717-41-7225,m,3,1944-12-09,Moorefield,Joelynn,D,22451 Larner Court,,92190,Dayton,OR,Canada,Joelynn.D.Moorefield@animail.net,Joelynn.D.Moorefield@taunusstein.net,,718,926-0392,,,,226-7624,42911,,,,,MD3,NJ4,1,1,20723,LPLUxMjdDzDWUDBpizPnFzDEPDpiKBsFhk
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
71,637-18-9208,f,2,1946-11-23,Targosky,Elsy,A,453 River Terrace West,,22309,St. Petersburg,Manitoba,United States of America,Elsy.A.Targosky@fastmail.fm,Elsy.A.Targosky@netdove.net,,,681-0441,,,,,,,,,,MD1,BC9,1,1,15678,tpv VAklwItCjpNVibzOUwYSEoc  O
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
72,037-98-8238,M,3,1931-06-23,Hearn,Kellie,,22767 Misty Street,,60702,Santa Clarita,HI,United States of America,Kellie.Hearn@mail2world.com,Kellie.Hearn@RespectAnimals.com,1,849,795-5939,,,,009-3894,05655,,,,,NF7,NF9,0,1,24291,GTXwPlZYjsZOFVtWJwmuJsnteOtRcQFqsuLuqYwDGMAHTNsZ
73,034-98-8485,,2,1999-11-12,Pankhurst,Jordana,,11559 Cone Avenue,,85703,Fargo,SC,Canada,Jordana.Pankhurst@gmx.pt,Jordana.Pankhurst@ip6.li,1,350,888-3925,,1,584,417-8313,,,621,772-8556,,NF9,MT5,1,1,20522,VMWwHyYWo UknFTYugTuMutZhUBcJQicdmTqbMAHLqzNdMpvNU
74,558-94-6526,,3,1918-05-04,Drinnan,Janaye,,22220 Maywind Road,Apt. 811,80906,Boise,Prince Edward Island,United States of America,Janaye.Drinnan@teancum.net,Janaye.Drinnan@deacons.com,1,260,472-3512,,,,508-2262,,,,,,CA3,NS8,2,1,5066,gH wtgCGqwRFvFTEPVJOlUCDvPjwLOVeCOGhL IQvKAjMuY
75,393-09-8047,,2,1994-07-06,Vanwychen,Coop,,19443 Payne Boulevard,,94133,Fort Collins,NV,United States of America,Coop.Vanwychen@hotmail.com,,1,800,892-8989,,1,622,272-0878,,,,,,NU4,MO3,0,1,8361, NfKCJCsswTgeSUXCtblngOEusFEdZmQQh
